TRA_ID,TRA_ELEID,TRA_COLUMN,TRA_LANID,TRA_NAME
1,31,description,2,Grupo de cartografía
2,32,description,2,Mapa de fondo
3,33,description,2,Mapa de situación
4,34,description,2,Informe
5,1,name,2,Inglés
6,2,name,2,Español
7,3,name,2,Catalán
8,4,name,2,Aranés
9,5,name,2,Francés
10,1,name,3,Anglès
11,2,name,3,Espanyol
12,3,name,3,Català
13,4,name,3,Aranès
14,5,name,3,Francès
15,1,name,4,Anglés
16,2,name,4,Espanhòl
17,3,name,4,Catalan
18,4,name,4,Aranés
19,5,name,4,Francés
20,1,name,5,Anglais
21,2,name,5,Espagnol
22,3,name,5,Catalan
23,4,name,5,Aranais
24,5,name,5,Français 
